Thumb,Index,Middle,Ring,Pinky,Gyro_X,Gyro_Y,Gyro_Z,GyroX,GyroY,GyroZ,cluster
1181,0,0,0,0,-116,-122,223,0,0,0,5
1579,0,0,0,0,-103,-109,218,0,0,0,5
1456,0,0,0,0,-114,-135,206,0,0,0,5
1278,0,0,0,0,-88,-108,209,0,0,0,5
1270,0,0,0,0,-106,-122,196,0,0,0,5
1294,0,0,0,0,-108,-138,225,0,0,0,5
1201,0,0,0,0,-100,-108,207,0,0,0,5
1225,0,0,0,0,-85,-122,204,0,0,0,5
1202,0,0,0,0,-95,-126,210,0,0,0,5
1194,0,0,0,0,-101,-121,209,0,0,0,5
1151,0,0,0,0,-83,-109,197,0,0,0,5
1098,0,0,0,0,-83,-125,209,0,0,0,5
1207,0,0,0,0,-98,-112,205,0,0,0,5
1215,0,0,0,0,-67,-125,210,0,0,0,5
1160,0,0,0,0,-102,-118,218,0,0,0,5
1202,0,0,0,0,-89,-127,224,0,0,0,5
1213,0,0,0,0,-96,-99,189,0,0,0,5
1169,0,0,0,0,-108,-144,210,0,0,0,5
1141,0,0,0,0,-85,-127,207,0,0,0,5
1128,0,0,0,0,-93,-117,192,0,0,0,5
1048,0,0,0,0,-98,-111,226,0,0,0,5
1112,0,0,0,0,-97,-125,215,0,0,0,5
1139,0,0,0,0,-91,-105,210,0,0,0,5
1084,0,0,0,0,-106,-105,207,0,0,0,5
1066,0,0,0,0,-101,-99,196,0,0,0,5
857,0,0,0,0,-95,-117,197,0,0,0,5
876,0,0,0,0,-92,-120,200,0,0,0,5
1040,0,0,0,0,-106,-119,191,0,0,0,5
981,0,0,0,0,-84,-103,191,0,0,0,5
774,0,0,0,0,-80,-103,217,0,0,0,5
692,0,0,0,0,-123,-121,206,0,0,0,5
688,0,0,0,0,-91,-108,216,0,0,0,5
633,0,0,0,0,-84,-106,214,0,0,0,5
546,0,0,0,0,-100,-159,207,0,0,0,5
573,0,0,0,0,-95,-140,215,0,0,0,5
684,0,0,0,0,-94,-118,207,0,0,0,5
657,0,0,0,0,-130,-129,211,0,0,0,5
1072,0,0,0,0,-97,-120,209,0,0,0,5
1089,0,0,0,0,-84,-128,211,0,0,0,5
1106,0,0,0,0,-83,-112,191,0,0,0,5
1067,0,0,0,0,-95,-118,203,0,0,0,5
962,0,0,0,0,-88,-98,230,0,0,0,5
1023,0,0,0,0,-93,-143,208,0,0,0,5
1114,0,0,0,0,-89,-129,207,0,0,0,5
1166,0,0,0,0,-85,-104,214,0,0,0,5
1133,0,0,0,0,-104,-144,220,0,0,0,5
1022,0,0,0,0,-92,-125,216,0,0,0,5
1052,0,0,0,0,-111,-119,217,0,0,0,5
912,0,0,0,0,-88,-125,231,0,0,0,5
1075,0,0,0,0,-90,-87,191,0,0,0,5
1135,0,0,0,0,-94,-136,231,0,0,0,5
1111,0,0,0,0,-121,-106,217,0,0,0,5
967,0,0,0,0,-100,-137,224,0,0,0,5
903,0,0,0,0,-77,-139,213,0,0,0,5
944,0,0,0,0,-97,-132,228,0,0,0,5
1049,0,0,0,0,-84,-115,202,0,0,0,5
766,0,0,0,0,-75,-112,200,0,0,0,5
943,0,0,0,0,-105,-103,235,0,0,0,5
875,0,0,0,0,-100,-144,225,0,0,0,5
827,0,0,0,0,-80,-109,191,0,0,0,5
857,0,0,0,0,-92,-127,199,0,0,0,5
872,0,0,0,0,-98,-134,219,0,0,0,5
829,0,0,0,0,-93,-122,216,0,0,0,5
761,0,0,0,0,-109,-120,213,0,0,0,5
739,0,0,0,0,-84,-113,228,0,0,0,5
919,0,0,0,0,-105,-133,195,0,0,0,5
925,0,0,0,0,-107,-121,203,0,0,0,5
894,0,0,0,0,-116,-1362,205,0,0,0,5
930,0,0,0,0,-108,-187,203,0,0,0,5
909,0,0,0,0,-143,-252,199,0,0,0,5
814,0,0,0,0,-81,-107,200,0,0,0,5
788,0,0,0,0,-83,-128,204,0,0,0,5
740,0,0,0,0,-88,-114,215,0,0,0,5
656,0,0,0,0,-92,-123,232,0,0,0,5
741,0,0,0,0,-81,-118,218,0,0,0,5
846,0,0,0,0,-74,-116,211,0,0,0,5
847,0,0,0,0,-98,-111,197,0,0,0,5
841,0,0,0,0,-99,-135,210,0,0,0,5
678,0,0,0,0,-96,-122,230,0,0,0,5
705,0,0,0,0,-90,-123,201,0,0,0,5
478,0,0,0,0,-89,-141,212,0,0,0,5
359,0,0,0,0,-95,-119,210,0,0,0,5
253,0,0,0,0,-87,-130,215,0,0,0,5
0,434,0,0,0,-88,-126,187,0,0,0,5
0,347,0,0,0,-94,-125,215,0,0,0,5
0,770,0,0,0,-111,-106,218,0,0,0,5
0,504,0,0,0,-85,-120,224,0,0,0,5
