I (557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-83 Y:-112 Z:200
I (857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-137 Z:222
I (1157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-72 Y:-145 Z:211
I (1457) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-90 Y:-136 Z:215
I (1757) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-141 Z:229
I (2057) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-110 Z:190
I (2357) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-116 Z:219
I (2657) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-101 Y:-119 Z:208
I (2957) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-107 Z:224
I (3257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-92 Y:-125 Z:225
I (3557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-83 Y:-124 Z:211
I (3857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-75 Y:-103 Z:212
I (4157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-88 Y:-147 Z:200
I (4457) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-72 Y:-99 Z:212
I (4757) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-75 Y:-142 Z:210
I (5057) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-117 Z:214
I (5357) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-116 Y:-121 Z:190
I (5657) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-104 Y:-129 Z:207
I (5957) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-69 Y:-107 Z:210
I (6257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-97 Y:-131 Z:225
I (6557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-77 Y:-138 Z:207
I (6857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-102 Y:-117 Z:213
I (7157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-99 Y:-106 Z:218
I (7457) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-81 Y:-108 Z:217
I (7757) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-98 Y:-125 Z:215
I (8057) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-73 Y:-142 Z:206
I (8357) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-78 Y:-119 Z:222
I (8657) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-81 Y:-98 Z:214
I (8957) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-95 Y:-128 Z:212
I (9257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-86 Y:-108 Z:220
I (9557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-102 Y:-124 Z:204
I (9857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-108 Y:-133 Z:212
I (10157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-85 Y:-120 Z:209
I (10457) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-115 Z:220
I (10757) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-125 Z:211
I (11057) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-105 Y:-110 Z:198
I (11357) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-77 Y:-118 Z:202
I (11657) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-71 Y:-118 Z:201
I (11957) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-74 Y:-121 Z:212
I (12257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-116 Y:-105 Z:221
I (12557) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-103 Y:-130 Z:208
I (12857) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-101 Y:-122 Z:198
I (13157) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-97 Y:-105 Z:201
I (13457) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-92 Y:-138 Z:216
I (13757) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-91 Y:-111 Z:228
I (14057) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-81 Y:-119 Z:221
I (14357) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-79 Y:-127 Z:207
I (14657) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-84 Y:-102 Z:218
I (14957) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-87 Y:-124 Z:211
I (15257) FLEX+GYRO_DFPLAYER: Thumb:0 | Index:0 | Middle:0 | Ring:0 | Pinky:0 || Gyro X:-103 Y:-121 Z:198
